Date,Description,Debit,Credit,Balance
2025-05-02,Indian Oil Fuel Pump Bangalore,850.00,0,38150.00
2025-05-05,Two Wheeler EMI Auto Debit HDFC,3200.00,0,34950.00
2025-05-08,D-Mart Grocery & Essentials,2450.00,0,32500.00
2025-05-10,Swiggy Delivery Payout Weekly,0,9800.00,42300.00
2025-05-12,Shell Petrol Pump Station,750.00,0,41550.00
2025-05-15,House Rent Transfer via UPI,6500.00,0,35050.00
2025-05-18,Jio Prepaid Fiber & Mobile Recharge,699.00,0,34351.00
2025-05-20,Blinkit Instant Grocery,820.00,0,33531.00
2025-05-22,Bike Repair & Oil Change TVS Garage,1450.00,0,32081.00
2025-05-25,Uber Weekly Payout Credit,0,16500.00,48581.00
2025-05-28,Electricity Bill BESCOM Bangalore,920.00,0,47661.00
2025-05-30,Medical & Pharmacy Expenses,640.00,0,47021.00
